City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
667,Springbok,ZA,-29.6643,17.8865,79.21,21,49,2.01,scattered clouds
668,Oriximina,BR,-1.7656,-55.8661,77.85,88,94,2.37,overcast clouds
669,Mokhsogollokh,RU,61.4681,128.9203,-33.81,100,40,3.27,scattered clouds
670,Jining,CN,35.405,116.5814,35.2,72,29,4.72,scattered clouds
671,Edd,ER,13.9297,41.6925,78.21,67,1,9.37,clear sky
672,Khapa,IN,21.4333,78.9667,53.55,31,26,4.07,scattered clouds
673,Sanjwal,PK,33.7608,72.4336,49.95,41,3,3.85,clear sky
674,Paamiut,GL,61.994,-49.6678,31.15,75,100,22.93,overcast clouds
675,Tutoia,BR,-2.7619,-42.2744,84.18,84,90,8.93,overcast clouds
676,Phan Thiet,VN,10.9333,108.1,73.63,75,100,5.7,overcast clouds
677,Auriflama,BR,-20.6856,-50.5547,83.44,87,21,5.88,few clouds
678,Benemerito De Las Americas,MX,16.5167,-90.6439,81.61,60,60,2.84,broken clouds
679,Dawlatabad,AF,36.4141,64.9053,47.37,57,100,6.89,overcast clouds
680,Ivybridge,GB,50.3904,-3.9191,45.34,81,100,14.99,overcast clouds
